;50;55;60;65;70;75;80;85;90;95;100;105;110
10;60;65;70;75;80;85;90;95;100;105;110;115;120
11;61;66;71;76;81;86;91;96;101;106;111;116;121
12;62;67;72;77;82;87;92;97;102;107;112;117;122
13;63;68;73;78;83;88;93;98;103;108;113;118;123
14;64;69;74;79;84;89;94;99;104;109;114;119;124
15;65;70;75;80;85;90;95;100;105;110;115;120;125
16;66;71;76;81;86;91;96;101;106;111;116;121;126
17;67;72;77;82;87;92;97;102;107;112;117;122;127
18;68;73;78;83;88;93;98;103;108;113;118;123;128
19;69;74;79;84;89;94;99;104;109;114;119;124;129
20;70;75;80;85;90;95;100;105;110;115;120;125;130
21;71;76;81;86;91;96;101;106;111;116;121;126;131
22;72;77;82;87;92;97;102;107;112;117;122;127;132
23;73;78;83;88;93;98;103;108;113;118;123;128;133
24;74;79;84;89;94;99;104;109;114;119;124;129;134
25;75;80;85;90;95;100;105;110;115;120;125;130;135
26;76;81;86;91;96;101;106;111;116;121;126;131;136
27;77;82;87;92;97;102;107;112;117;122;127;132;137
28;78;83;88;93;98;103;108;113;118;123;128;133;138
29;79;84;89;94;99;104;109;114;119;124;129;134;139
30;80;85;90;95;100;105;110;115;120;125;130;135;140
31;81;86;91;96;101;106;111;116;121;126;131;136;141
32;82;87;92;97;102;107;112;117;122;127;132;137;142
33;83;88;93;98;103;108;113;118;123;128;133;138;143
34;84;89;94;99;104;109;114;119;124;129;134;139;144
35;85;90;95;100;105;110;115;120;125;130;135;140;145
36;86;91;96;101;106;111;116;121;126;131;136;141;146
37;87;92;97;102;107;112;117;122;127;132;137;142;147
38;88;93;98;103;108;113;118;123;128;133;138;143;148
39;89;94;99;104;109;114;119;124;129;134;139;144;149
40;90;95;100;105;110;115;120;125;130;135;140;145;150
